City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,Wailua Homesteads,22.0669,-159.378,22.24,67,100,11.32,US,1702613679
224,Kapuskasing,49.4169,-82.4331,4.05,81,0,8.75,CA,1702613632
225,Lihue,21.9789,-159.3672,22.58,59,100,11.32,US,1702613628
226,Pimenta Bueno,-11.6725,-61.1936,23.94,94,85,1.26,BR,1702613756
227,Guerrero Negro,27.9769,-114.0611,17.86,46,0,1.89,MX,1702613388
228,Saldanha,-33.0117,17.9442,13.03,81,0,6.61,ZA,1702613756
229,Segezha,63.7415,34.3222,-11.82,96,95,2.43,RU,1702613756
230,Mil'Kovo,55.6078,37.7956,-6.98,95,100,5.65,RU,1702613756
231,Katsuren-Haebaru,26.3369,127.8719,27.43,64,40,4.63,JP,1702613757
232,Statesboro,32.4488,-81.7832,5.89,52,0,0.0,US,1702613757
233,Mineiros,-17.5694,-52.5511,24.73,52,100,0.58,BR,1702613757
234,Harnosand,62.6323,17.9379,-12.0,94,100,1.15,SE,1702613757
235,Sola,-13.8833,167.55,26.06,64,99,6.54,VU,1702613757
236,San Patricio,28.017,-97.5169,18.91,91,72,6.03,US,1702613757
237,Kegen,43.0197,79.2203,-17.13,69,23,3.76,KZ,1702613757
238,Palmer,42.1584,-72.3287,0.6,63,20,2.06,US,1702613566
239,Batabano,22.7164,-82.2881,23.34,78,85,8.62,CU,1702613758
240,Vorkuta,67.5,64.0,-21.0,100,95,1.8,RU,1702613697
241,Lent'Ekhi,42.7856,42.7261,5.24,57,100,3.04,GE,1702613758
242,Georgievka,49.3314,81.5761,-22.63,81,4,1.49,KZ,1702613758
243,Kingman,35.1894,-114.053,10.71,25,100,4.92,US,1702613758
244,Prineville,44.2999,-120.8345,3.95,76,0,0.0,US,1702613745
245,Mejit,10.2753,170.8646,27.36,77,82,8.97,MH,1702613759
246,Bodo,67.28,14.405,-3.08,59,40,12.86,NO,1702613759
247,Constitucion,-35.3333,-72.4167,10.1,81,0,3.95,CL,1702613759
248,Altayskoye,51.9533,85.3325,-16.81,92,88,0.37,RU,1702613759
249,Ouarzazat,30.9189,-6.8934,6.16,45,0,1.03,MA,1702613759
250,Rio San Juan,19.6439,-70.0763,21.76,80,95,5.72,DO,1702613759
251,Lompoc,34.6391,-120.4579,15.51,89,100,4.02,US,1702613687
252,Hasaki,35.7333,140.8333,14.05,83,100,4.81,JP,1702613760
253,Broken Hill,-31.95,141.4333,29.97,16,0,6.82,AU,1702613951
254,Vostochnyy,55.8167,37.8667,-8.47,93,100,4.94,RU,1702613760
255,Katabu,-4.9333,122.5167,32.64,53,71,3.06,ID,1702613760
256,Atasu,48.6814,71.6433,-12.49,61,6,5.64,KZ,1702613760
257,Longyearbyen,78.2186,15.6401,-2.09,86,75,1.54,SJ,1702613362
258,Villa Gesell,-37.2639,-56.973,19.47,96,100,6.39,AR,1702613710
259,Auki,-8.7676,160.7034,28.12,76,98,1.03,SB,1702613761
260,Lubango,-14.9172,13.4925,16.38,83,100,0.57,AO,1702613761
261,Thunder Bay,48.4001,-89.3168,8.99,61,0,6.17,CA,1702613694
262,Loiza,18.4313,-65.8802,25.99,78,40,4.12,PR,1702613761
263,Papatowai,-46.5619,169.4708,16.66,75,77,3.14,NZ,1702613668
264,Yung Shue Wan,22.2333,114.1167,28.52,82,76,0.45,HK,1702613761
265,Pisco,-13.7,-76.2167,20.03,88,0,3.09,PE,1702613953
266,Marka,1.7159,44.7717,26.65,82,21,5.28,SO,1702613762
267,San Luis De La Loma,17.2706,-100.8939,26.49,69,100,1.87,MX,1702613762
268,Vila Do Maio,15.1333,-23.2167,23.44,77,100,4.45,CV,1702613953
269,La Passe,45.5549,-0.8967,10.13,95,29,2.48,FR,1702613636
270,Sao Joao Da Barra,-21.6403,-41.0511,24.14,88,33,7.46,BR,1702613785
271,Caninde,-4.3589,-39.3117,25.16,73,100,1.45,BR,1702613763
272,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,-15.19,75,96,7.49,RU,1702613763
273,Mountain Home,43.133,-115.6912,1.35,86,100,2.57,US,1702613681
274,Kalmunai,7.4167,81.8167,26.89,84,99,4.03,LK,1702613764
275,Ola,59.5833,151.2833,-14.08,67,77,6.0,RU,1702613809
276,Willowmore,-33.2926,23.4895,11.52,73,0,1.4,ZA,1702613954
277,Pathein,16.7833,94.7333,29.83,56,18,3.73,MM,1702613765
278,Sao Felix Do Xingu,-6.6447,-51.995,23.13,99,100,1.64,BR,1702613511
279,San Andres,12.5847,-81.7006,28.01,74,40,5.14,CO,1702613765
280,Uzgen,40.7699,73.3007,-1.84,71,100,3.54,KG,1702613766
281,Inderbor,48.55,51.7833,-6.84,35,100,5.45,KZ,1702613766
282,Senillosa,-39.0,-68.4167,18.88,33,0,9.45,AR,1702613766
283,Harstad,68.799,16.5293,-2.44,45,76,6.71,NO,1702613767
284,Paraty,-23.2178,-44.7131,23.94,90,13,1.4,BR,1702613768
285,Puerto Ayora,-0.7393,-90.3518,24.12,90,75,3.25,EC,1702613650
286,Ivdel',60.6911,60.4206,-14.99,94,98,1.34,RU,1702613768
287,Santa Marta,11.2408,-74.199,28.03,69,20,3.09,CO,1702613954
288,Baukau,51.5526,7.2042,6.33,88,99,0.89,DE,1702613769
289,Remire-Montjoly,4.9167,-52.2667,25.02,94,20,0.0,GF,1702613854
290,Shar,49.5886,81.0453,-22.63,82,4,1.98,KZ,1702613769
291,Moengo,5.6167,-54.4,24.27,94,47,1.42,SR,1702613770
